loan_id,monthly_income,origination_score_band,TOB_months,closing_principal_balance,original_loan_amount,product,original_loan_term,remaining_loan_term,delq_history,target
1055,3750,5,39,900,1200,A,60,24,"0,0,0,0,0,0",1
1056,12000,6,39,1800,3600,B,60,26,"0,0,0,1,0,0",1
1057,6750,4,37,1800,2100,A,60,27,"1,0,1,1,1,1",0
1057,6750,4,37,1800,2100,A,60,27,"1,0,1,1,1,1",0
1058,3750,4,35,1200,1200,A,60,29,"0,0,0,0,0,0",0
1059,36750,8,34,10200,11100,A,60,30,"0,0,0,0,0,0",0
1060,9000,4,36,2100,2700,B,60,28,"0,0,0,0,0,0",0
1061,15750,5,33,4500,4800,A,60,31,"0,0,0,0,0,0",1
1062,6750,4,35,1500,2100,B,60,29,"1,1,1,0,0,0",0
1063,9750,3,35,2700,3000,B,60,29,"0,0,0,0,0,0",0
1063,9750,3,35,2700,3000,B,60,29,"0,0,0,0,0,0",0
1064,12750,4,34,3600,3900,A,60,30,"0,0,0,0,0,0",1
1065,12750,3,33,3600,3900,B,60,31,"0,0,0,0,0,0",1
1066,9000,4,32,2400,2700,A,60,32,"0,0,0,0,0,0",0
1066,9000,4,32,2400,2700,A,60,32,"0,0,0,0,0,0",0
1067,8250,1,30,2100,2400,A,60,34,"0,0,0,0,0,0",0
1067,8250,1,30,2100,2400,A,60,34,"0,0,0,0,0,0",0
1068,71250,4,32,19800,21300,B,60,32,"0,0,0,0,0,0",1
1069,5250,4,31,1500,1500,A,60,33,"0,0,0,0,0,0",1
1070,6750,5,32,1500,2100,B,60,32,"0,0,0,0,0,0",0
1071,15000,1,28,4200,4500,A,60,36,"0,1,0,0,0,0",0
1072,36750,3,30,8700,11100,B,60,34,"0,0,0,0,0,0",1
1073,5250,4,29,1500,1500,A,60,35,"1,1,1,1,1,1",0
1074,24000,5,29,6000,7200,B,60,35,"0,0,0,0,0,0",0
1075,3000,5,27,300,900,A,36,14,"0,0,0,0,0,0",0
1076,6750,2,27,2100,2100,A,60,37,"0,0,0,0,0,0",0
1077,,3,,,,B,60,38,,0
1078,12000,6,25,2700,3600,B,60,39,"0,0,0,0,0,0",0
1078,12000,6,25,2700,3600,B,60,39,"0,0,0,0,0,0",0
1079,,5,,,,A,60,40,,0
1080,2250,1,25,600,600,A,60,39,"0,0,0,0,0,0",0
1081,21000,5,24,6000,6300,B,60,40,"0,0,0,0,1,0",1
1082,15750,5,24,4200,4800,B,60,40,"1,0,0,0,0,0",1
1083,15750,5,22,4500,4800,A,60,42,"0,0,0,0,0,0",1
1084,2250,1,24,300,600,A,60,39,"0,0,1,1,0,0",0
1085,24000,3,24,6000,7200,B,60,47,"0,0,0,1,0,0",0
1086,750,4,24,300,300,A,60,40,"1,3,2,1,0,0",0
1087,12000,5,24,3300,3600,B,60,40,"2,2,3,1,1,0",1
1088,45750,3,23,13200,13800,B,60,41,"0,0,0,0,0,0",0
1089,20250,2,22,6000,6000,A,60,42,"0,0,0,0,0,0",0
1090,,3,,,,A,60,44,,0
1091,17250,4,22,4200,5100,B,60,42,"0,0,0,0,0,0",0
1092,8250,5,22,2100,2400,A,60,42,"0,0,0,0,0,0",1
1093,6750,5,21,2100,2100,A,60,43,"0,0,0,0,0,0",1
1094,14250,4,21,4200,4200,A,60,43,"0,0,0,0,0,0",0
1094,14250,4,21,4200,4200,A,60,43,"0,0,0,0,0,0",0
1095,3750,4,21,900,1200,B,48,32,"0,0,0,0,0,0",0
1096,9000,5,21,2700,2700,A,60,43,"0,0,0,0,0,0",1
1097,3000,2,21,600,900,A,36,20,"0,0,0,0,0,0",0
1098,14250,5,20,4200,4200,A,60,44,"0,0,0,0,0,0",1
1099,3750,5,19,1200,1200,A,60,45,"0,0,0,0,0,0",1
1100,8250,6,18,1800,2400,A,60,47,"0,0,0,0,0,0",0
1101,15000,3,17,4500,4500,A,60,47,"0,0,0,0,0,0",0
1102,11250,4,17,3300,3300,B,60,47,"0,0,0,0,0,0",0
1103,21000,5,13,6300,6300,A,60,51,"1,0,0,0,0,0",0
1104,42750,2,13,12900,12900,B,60,51,"0,0,0,0,0,0",0
1105,3750,5,13,900,1200,C,60,45,"0,0,0,0,0,0",1
1106,11250,5,12,3300,3300,A,36,28,"0,0,0,0,0,0",1
1107,24750,2,13,7500,7500,B,60,51,"0,0,0,0,0,0",0
1108,21000,2,13,6300,6300,B,60,51,"0,0,0,0,0,0",0
1109,8250,4,12,2400,2400,B,60,52,"0,0,0,0,0,0",0
1110,21750,5,12,6300,6600,B,60,52,"0,0,0,0,0,0",0
1111,9750,4,12,3000,3000,B,60,52,"1,0,0,0,0,0",0
1112,,3,,,,A,60,52,,0
1113,15000,2,12,4500,4500,B,60,52,"0,0,0,0,0,0",0
1114,9750,5,12,2700,3000,B,60,53,"1,0,0,0,0,0",0
1115,5250,3,12,1500,1500,B,60,53,"0,0,0,0,0,0",0
1115,5250,3,12,1500,1500,B,60,53,"0,0,0,0,0,0",0
1116,12750,3,10,3900,3900,A,60,54,"1,1,0,0,0,0",0
1117,,6,,,,A,60,55,,0
1118,3000,8,10,900,900,A,36,30,"1,1,0,0,0,0",0
1119,,5,,,,A,60,55,,0
1120,5250,4,10,1500,1500,A,36,30,"1,0,1,0,0,0",0
1121,8250,5,8,2400,2400,A,60,56,"0,0,0,0,0,0",1
1122,14250,5,9,4200,4200,B,60,55,"0,0,0,0,0,0",0
1123,21750,6,8,6600,6600,A,36,32,"0,0,0,0,0,0",1
1124,9750,4,8,3000,3000,A,60,56,"0,0,0,0,0,0",1
1125,39750,6,7,12000,12000,A,60,57,"0,0,0,0,0,0",1
1126,3000,2,6,900,900,A,36,35,"0,0,0,0,0,0",0
1127,5250,8,7,1500,1500,A,36,34,"0,0,0,0,0,0",0
1128,8250,3,6,2400,2400,A,36,34,"0,0,0,0,0,0",0
1129,5250,5,6,1500,1500,A,12,11,"0,0,0,0,0,0",0
1130,12000,3,61,2400,3600,B,60,3,"0,0,0,0,0,0",0
1130,12000,3,61,2400,3600,B,60,3,"0,0,0,0,0,0",0
1131,11250,3,49,3000,3300,B,60,15,"0,0,0,0,0,0",0
1132,15750,7,48,4200,4800,A,60,16,"0,0,0,0,0,0",1
1133,8250,3,49,1500,2400,B,60,15,"0,0,0,0,1,0",0
1134,54750,5,48,14400,16500,B,60,16,"1,0,0,1,0,0",1
1135,15750,3,45,3300,4800,A,60,19,"3,3,2,2,1,0",0
1136,14250,4,48,3600,4200,A,60,16,"0,0,0,0,0,0",0
1137,50250,4,48,12900,15000,B,60,16,"1,1,1,0,0,0",1
1137,50250,4,48,12900,15000,B,60,16,"1,1,1,0,0,0",1
1138,14250,4,47,3300,4200,B,60,17,"0,0,0,0,0,1",0
1139,45750,4,47,11700,13800,B,60,17,"0,0,0,0,0,0",0
1140,17250,4,47,4500,5100,B,60,17,"0,2,1,0,0,0",1
1141,24000,3,46,6000,7200,B,60,18,"1,0,0,0,0,0",0
1142,11250,5,46,2400,3300,B,60,18,"0,0,0,0,0,0",0
1143,20250,3,44,5700,6000,B,60,20,"0,0,0,0,0,0",0
1144,26250,5,40,6900,7800,A,60,24,"0,0,0,0,0,0",0
1145,,4,,,,B,60,20,,1
1146,14250,3,44,3900,4200,B,60,20,"0,0,0,0,0,0",0
1146,14250,3,44,3900,4200,B,60,20,"0,0,0,0,0,0",0
1147,15000,4,43,2700,4500,B,60,21,"0,0,0,0,0,0",0
1148,39000,3,43,10800,11700,B,60,21,"1,1,2,1,0,1",0
1149,6000,5,43,1500,1800,A,60,21,"2,2,1,0,0,0",0
1150,5250,5,43,1500,1500,A,60,21,"0,0,1,0,0,0",0
1150,5250,5,43,1500,1500,A,60,21,"0,0,1,0,0,0",0
1151,9000,4,43,1800,2700,B,60,21,"0,0,0,0,0,0",1
1152,6000,4,42,1500,1800,A,60,22,"1,1,1,1,1,1",0
1152,6000,4,42,1500,1800,A,60,22,"1,1,1,1,1,1",0
1153,12750,4,41,3000,3900,B,60,23,"0,1,0,0,0,0",1
1154,9000,2,41,2400,2700,B,60,23,"0,0,0,0,0,0",0
1155,15750,4,41,3900,4800,B,60,23,"0,0,0,0,0,0",0
1156,68250,5,41,17700,20400,B,60,23,"0,0,0,0,0,0",0
1157,9750,3,41,2400,3000,B,60,23,"0,0,0,0,0,0",0
1158,29250,3,40,8100,8700,B,60,24,"1,1,0,0,0,0",0
1159,30000,5,39,8100,9000,B,60,25,"0,0,0,0,0,0",1
1160,15000,5,39,3600,4500,B,60,25,"0,0,0,0,0,0",0
1161,3750,5,39,900,1200,A,60,25,"1,1,1,0,0,0",0
1162,6000,5,39,900,1800,B,60,26,"0,0,1,0,0,0",0
1163,20250,4,39,4800,6000,B,60,25,"0,0,0,0,0,0",0
1164,57000,3,38,16800,17100,B,60,26,"1,0,1,0,0,1",1
1165,23250,3,37,6300,6900,B,60,27,"0,1,0,0,0,0",0
1166,9000,2,37,2400,2700,B,60,27,"0,0,0,0,0,0",0
1167,20250,3,37,4800,6000,B,60,27,"0,0,0,0,0,0",0
1168,,5,,,,B,60,27,,1
1169,27750,2,36,7500,8400,B,60,28,"0,0,0,0,0,0",0
1170,15000,3,34,4200,4500,A,60,30,"0,0,0,0,0,0",0
1171,39750,5,35,10800,12000,A,60,29,"1,1,1,1,1,1",1
1172,17250,5,35,4500,5100,B,60,29,"0,1,0,0,0,0",0
1173,9750,3,34,1800,3000,A,60,31,"0,0,0,0,0,0",0
1174,51000,7,31,14100,15300,A,60,33,"0,0,0,0,1,0",0
1175,,3,,,,A,60,30,,1
1176,3750,4,34,900,1200,A,60,30,"0,0,0,0,0,0",0
1177,9000,2,33,2400,2700,A,60,31,"0,0,0,0,0,0",0
1178,68250,4,33,19800,20400,B,60,31,"1,1,1,1,1,0",0
1179,9750,1,32,900,3000,A,60,32,"0,0,0,0,0,0",0
1179,9750,1,32,900,3000,A,60,32,"0,0,0,0,0,0",0
1180,12000,3,33,3000,3600,B,60,31,"0,1,0,0,0,0",0
1181,3750,2,27,600,1200,A,36,14,"0,0,0,0,1,0",0
1182,,2,,,,A,60,33,,0
1183,5250,5,31,1200,1500,A,60,33,"0,0,0,0,1,0",0
1184,2250,5,30,600,600,A,60,35,"0,0,0,0,0,0",0
1185,9750,3,30,3000,3000,A,60,34,"0,0,0,0,0,0",0
1186,6000,2,24,1800,1800,A,60,40,"0,0,0,0,0,0",0
1187,6750,4,29,1200,2100,A,60,35,"0,0,0,0,0,0",0
1188,15000,3,29,4200,4500,A,60,35,"0,0,0,0,0,0",1
1189,6750,1,29,1800,2100,A,60,35,"0,0,0,0,0,0",0
1190,5250,3,29,1500,1500,A,60,35,"0,0,1,0,0,0",0
1191,24750,4,28,6900,7500,B,60,36,"0,0,0,0,0,0",0
1192,14250,5,28,3600,4200,B,60,36,"0,1,0,0,0,0",0
1193,8250,4,28,2100,2400,A,60,36,"0,0,0,0,0,0",1
1194,6750,4,24,1800,2100,A,60,40,"0,0,1,1,2,2",0
1195,2250,6,26,300,600,A,60,39,"0,0,0,0,0,0",0
1196,39000,5,26,11400,11700,B,60,38,"1,1,0,0,0,0",0
1197,8250,4,25,1200,2400,B,36,18,"0,1,0,0,0,0",0
1198,39750,4,25,11700,12000,B,60,39,"0,0,0,0,0,0",0
1199,8250,7,25,2400,2400,A,60,39,"0,0,0,0,0,0",1
1200,60000,5,25,17400,18000,B,60,40,"1,0,0,0,0,0",0
1201,39750,4,25,11700,12000,B,60,40,"0,0,0,0,0,0",0
1202,90750,6,24,26400,27300,B,60,40,"0,0,0,0,0,0",0
1203,8250,3,24,2100,2400,B,60,40,"1,0,0,0,0,0",0
1204,99750,3,23,29400,30000,B,60,41,"1,1,0,0,0,0",0
1205,54000,3,23,16200,16200,B,60,41,"0,0,0,0,0,0",0
1206,6750,2,24,2100,2100,A,60,40,"1,0,0,0,0,0",0
1207,63000,4,24,18300,18900,B,60,40,"0,0,0,0,0,0",0
1208,,5,,,,A,60,41,,0
1209,21750,5,23,6600,6600,B,60,41,"0,0,0,0,0,0",0
1210,14250,3,23,3900,4200,B,60,41,"0,0,0,0,0,0",0
1211,18000,4,22,4200,5400,B,60,43,"0,0,0,0,0,0",1
1212,9750,2,23,2700,3000,A,60,41,"0,0,0,0,0,0",0
1213,29250,5,23,8700,8700,B,60,41,"0,0,0,0,0,0",0
1214,20250,2,23,6000,6000,B,60,41,"0,0,0,0,0,0",0
1215,8250,4,23,1800,2400,B,48,30,"0,0,0,1,0,0",1
1216,6000,1,20,1500,1800,A,60,45,"0,0,0,0,0,0",1
1217,20250,2,22,6000,6000,B,60,42,"0,0,0,0,0,0",0
1218,6000,3,22,1500,1800,B,60,42,"0,1,2,1,1,1",0
1219,14250,5,22,3900,4200,B,60,42,"0,0,0,0,0,0",0
1220,24750,3,22,7500,7500,B,60,42,"0,0,0,0,0,0",1
1221,9750,3,22,3000,3000,A,60,42,"0,0,0,0,0,0",0
1221,9750,3,22,3000,3000,A,60,42,"0,0,0,0,0,0",0
1222,21000,3,21,3900,6300,B,60,43,"0,0,0,0,0,0",0
1222,21000,3,21,3900,6300,B,60,43,"0,0,0,0,0,0",0
1223,9750,4,21,2700,3000,B,60,43,"1,0,0,0,0,0",0
1224,11250,5,21,2100,3300,A,60,43,"0,1,0,1,0,0",0
1225,6750,5,21,300,2100,B,60,5,"0,0,0,0,0,0",0
1225,6750,5,21,300,2100,B,60,5,"0,0,0,0,0,0",0
1226,6750,4,19,2100,2100,A,60,45,"0,0,0,0,0,0",1
1226,6750,4,19,2100,2100,A,60,45,"0,0,0,0,0,0",1
1227,9750,2,21,3000,3000,A,60,43,"0,0,0,0,0,0",0
1228,36750,3,19,11100,11100,A,60,45,"0,0,0,0,0,0",0
1228,36750,3,19,11100,11100,A,60,45,"0,0,0,0,0,0",0
1229,57000,6,20,16500,17100,B,60,44,"0,0,0,0,0,0",0
1230,15000,2,20,4500,4500,A,60,44,"0,0,0,0,0,0",0
1231,15000,4,20,4200,4500,A,60,44,"0,0,0,0,0,0",0
1232,14250,3,20,4200,4200,A,60,44,"0,0,0,0,0,0",1
1233,12000,2,19,3300,3600,A,60,45,"0,0,0,0,0,0",0
1234,8250,3,18,2400,2400,A,60,46,"0,0,0,0,0,0",1
1235,9750,1,19,1500,3000,A,24,10,"0,1,1,0,0,0",0
1236,,4,,,,A,60,46,,1
1237,11250,3,18,2700,3300,B,60,47,"0,0,0,0,0,0",0
1238,12750,4,16,3300,3900,B,60,48,"0,0,1,0,0,0",1
1239,14250,7,16,3900,4200,A,60,49,"0,0,0,0,0,0",0
1240,99000,5,14,29100,29700,B,60,50,"1,1,0,0,0,0",0
1241,21750,4,14,6600,6600,A,60,50,"0,0,0,0,0,0",0
1242,3750,5,15,1200,1200,A,60,49,"0,0,0,0,0,0",1
1243,6750,2,15,2100,2100,A,60,49,"1,1,1,0,0,0",0
1244,11250,3,15,3300,3300,A,60,49,"0,0,0,0,0,0",0
1245,24750,2,15,6900,7500,B,60,49,"0,0,0,0,0,0",0
1246,41250,2,14,12300,12300,B,60,50,"0,0,0,0,0,0",0
1247,8250,8,13,2400,2400,A,36,27,"0,0,0,0,0,0",1
1247,8250,8,13,2400,2400,A,36,27,"0,0,0,0,0,0",1
1248,24000,4,13,7200,7200,B,60,51,"0,0,0,0,0,0",0
1249,8250,4,13,2100,2400,B,60,51,"0,0,0,0,0,0",0
1250,17250,3,10,5100,5100,A,60,54,"0,0,0,0,0,0",0
1251,24000,3,13,7200,7200,B,60,51,"0,0,0,0,0,0",0
1252,15000,3,8,4500,4500,A,60,56,"0,0,0,0,0,0",0
1253,5250,5,12,1500,1500,A,60,52,"0,0,0,0,0,0",0
1254,11250,5,12,3300,3300,A,60,52,"0,0,0,0,0,0",0
1255,9750,2,12,2700,3000,B,60,49,"0,0,0,0,0,0",0
1256,59250,4,12,17700,17700,B,60,52,"0,0,0,0,0,0",0
1256,59250,4,12,17700,17700,B,60,52,"0,0,0,0,0,0",0
1257,9000,3,11,2400,2700,B,60,53,"0,0,0,0,0,0",1
1258,,5,,,,A,60,55,,0
1259,15000,4,12,4500,4500,A,60,52,"0,0,0,0,0,0",0
1260,9000,5,11,2400,2700,A,60,53,"0,0,0,0,0,0",0
1261,12000,4,10,3600,3600,A,60,54,"0,0,0,0,0,0",0
1262,9750,5,11,3000,3000,B,60,53,"0,1,1,0,0,0",0
1263,26250,5,9,7800,7800,B,60,55,"0,0,1,0,0,0",0
1263,26250,5,9,7800,7800,B,60,55,"0,0,1,0,0,0",0
1264,9000,3,7,2700,2700,A,60,57,"0,0,0,0,0,0",1
1264,9000,3,7,2700,2700,A,60,57,"0,0,0,0,0,0",1
1265,3750,5,8,1200,1200,A,60,56,"0,0,0,0,0,0",0
1266,3750,5,7,900,1200,A,12,10,"1,0,0,0,0,0",0
1267,3750,4,8,1200,1200,A,60,56,"0,0,0,0,0,0",0
1268,9750,4,6,3000,3000,A,36,34,"0,0,0,0,0,0",0
1269,15000,5,77,2400,4500,B,60,47,"1,0,3,3,2,1",0
1270,30000,4,74,7500,9000,B,60,50,"0,0,0,0,0,0",1
1271,6000,3,69,600,1800,B,23,18,"0,3,0,0,1,0",1
1272,15750,3,66,3000,4800,B,59,57,"0,0,0,0,0,0",0
1273,48000,3,65,5400,14400,B,24,23,"0,0,0,0,0,0",1
1273,48000,3,65,5400,14400,B,24,23,"0,0,0,0,0,0",1
1274,9000,3,55,2400,2700,A,60,9,"1,1,1,1,1,1",0
1275,38250,5,51,9600,11400,B,60,13,"0,3,2,3,3,4",1
1276,,5,,,,A,60,18,,0
1277,12750,2,30,3600,3900,A,60,34,"1,3,2,2,2,2",0
1277,12750,2,30,3600,3900,A,60,34,"1,3,2,2,2,2",0
1278,6750,2,27,1800,2100,A,60,37,"0,2,1,0,0,0",0
1278,6750,2,27,1800,2100,A,60,37,"0,2,1,0,0,0",0
1279,21750,2,13,5700,6600,B,48,40,"0,0,0,0,0,0",0
1280,15000,4,10,4200,4500,A,60,54,"1,1,1,1,0,0",0
1281,39750,5,9,10800,12000,B,60,55,"0,1,0,0,0,0",0
1282,6750,4,9,2100,2100,A,60,56,"0,0,0,0,0,0",0
1283,,6,,,,A,60,57,,1
1284,20250,4,60,3900,6000,B,60,4,"0,0,0,0,0,0",0
1285,5250,3,60,300,1500,C,60,5,"0,0,0,0,0,1",1
1286,14250,3,60,1800,4200,B,60,4,"0,0,0,0,0,0",0
1287,24750,4,60,6000,7500,B,60,4,"0,0,0,0,0,0",1
1288,9750,3,59,300,3000,B,60,5,"0,0,0,0,0,0",0
1289,27000,5,59,6600,8100,B,60,5,"1,1,0,1,1,1",0
1289,27000,5,59,6600,8100,B,60,5,"1,1,0,1,1,1",0
1290,8250,4,59,900,2400,B,60,5,"0,0,0,0,0,0",1
1291,21000,5,54,5400,6300,A,60,10,"1,0,0,0,0,0",0
1292,8250,3,55,1200,2400,A,60,9,"0,0,0,0,0,0",0
1293,9000,6,55,2100,2700,A,60,9,"0,0,0,0,0,0",0
1294,14250,4,53,3300,4200,A,126,72,"1,0,0,0,0,0",1
1294,14250,4,53,3300,4200,A,126,72,"1,0,0,0,0,0",1
1295,5250,3,54,600,1500,A,60,10,"0,0,0,0,0,1",0
1296,8250,5,53,1500,2400,A,120,67,"0,1,1,0,1,0",0
1297,8250,7,49,1800,2400,A,120,72,"1,0,0,0,0,0",0
1298,3750,5,47,900,1200,A,123,58,"0,1,0,0,0,0",0
1299,8250,2,48,2100,2400,A,66,22,"1,0,0,0,0,0",0
1300,24000,3,47,6600,7200,B,60,17,"0,0,0,0,0,0",0
1301,24750,4,48,1200,7500,B,48,5,"0,0,0,0,0,0",0
1302,6000,4,47,900,1800,B,60,17,"0,0,0,0,0,0",0
1303,14250,5,47,3600,4200,A,60,17,"0,0,0,0,0,0",1
1304,36750,7,46,9600,11100,B,60,18,"0,0,0,0,0,0",0
1305,9000,4,45,2100,2700,A,120,76,"1,0,0,0,0,0",0
1306,,3,,,,A,123,80,,1
1307,11250,5,44,3000,3300,A,66,26,"0,2,1,0,0,0",0
1308,8250,5,43,2100,2400,A,66,27,"0,0,0,0,0,0",1
1309,8250,5,41,1800,2400,A,123,82,"0,0,0,0,0,0",1
1309,8250,5,41,1800,2400,A,123,82,"0,0,0,0,0,0",1
1310,24750,2,41,4500,7500,B,60,23,"0,0,0,0,0,0",0
1311,8250,5,42,1200,2400,C,60,28,"0,0,0,0,0,0",0
1312,5250,5,40,600,1500,A,60,25,"0,0,0,0,0,0",0
1313,24750,4,39,3900,7500,B,60,26,"0,1,1,1,1,0",0
1314,3000,8,39,600,900,A,120,81,"0,0,1,1,1,0",0
1315,9000,1,38,2400,2700,A,60,26,"1,0,0,0,1,1",0
1316,5250,1,38,1500,1500,A,66,32,"0,1,0,0,0,0",1
1317,2250,4,38,300,600,C,39,6,"0,0,0,0,0,0",1
1318,9000,4,37,2100,2700,A,60,27,"0,0,0,0,0,0",0
1318,9000,4,37,2100,2700,A,60,27,"0,0,0,0,0,0",0
1319,3750,4,36,900,1200,A,120,83,"0,0,0,0,0,0",0
1320,3000,7,36,300,900,C,36,5,"0,0,0,0,0,0",0
1321,3750,1,36,600,1200,A,60,29,"0,0,0,0,0,0",0
1321,3750,1,36,600,1200,A,60,29,"0,0,0,0,0,0",0
1322,8250,2,32,1500,2400,A,36,8,"0,0,0,0,0,0",1
1323,9750,1,34,2700,3000,A,72,42,"0,0,0,0,0,0",1
1324,3000,3,35,600,900,A,48,18,"0,0,0,0,0,0",1
1325,23250,6,29,6600,6900,A,186,139,"0,0,0,0,0,0",1
1326,3750,5,35,1200,1200,A,72,41,"1,0,1,1,1,1",0
1327,8250,1,34,1200,2400,A,60,31,"0,0,0,0,0,0",0
1328,6000,5,32,1200,1800,C,66,39,"0,0,0,0,0,0",1
1329,3750,2,34,900,1200,A,60,30,"0,0,0,0,0,0",1
1330,2250,3,34,300,600,C,36,7,"0,0,0,0,0,0",0
1331,11250,3,34,2700,3300,A,120,84,"0,0,0,0,0,0",1
1332,8250,2,33,2100,2400,A,120,86,"0,0,0,0,0,0",1
1333,6000,3,32,1200,1800,A,60,32,"0,1,0,1,0,0",0
1334,5250,8,32,1500,1500,A,66,38,"1,1,1,1,0,0",1
1334,5250,8,32,1500,1500,A,66,38,"1,1,1,1,0,0",1
1335,6750,6,32,1800,2100,A,132,97,"0,0,0,0,0,0",0
1336,3000,6,31,600,900,C,60,32,"0,0,0,0,0,0",1
1337,,4,,,,A,48,23,,1
1338,15000,4,31,4200,4500,A,180,134,"1,0,0,0,0,0",0
1339,15000,3,27,1200,4500,A,36,13,"0,0,0,0,0,0",0
1340,9750,3,30,2100,3000,D,60,41,"0,1,0,0,0,0",1
1341,9000,6,29,1500,2700,A,60,36,"0,0,0,0,0,0",0
1342,3000,2,28,600,900,D,60,43,"0,0,0,0,0,0",1
1343,26250,5,28,6000,7800,D,60,43,"0,0,0,0,0,0",0
1344,18000,2,28,4200,5400,D,60,43,"1,1,0,0,0,0",0
1345,9750,2,27,3000,3000,A,60,37,"0,0,0,0,0,0",1
1346,2250,3,26,300,600,C,36,15,"0,0,0,0,0,0",0
1347,9750,3,27,2400,3000,D,60,44,"0,0,0,0,0,0",0
1348,3750,2,26,1200,1200,A,120,91,"0,0,0,0,0,0",1
1348,3750,2,26,1200,1200,A,120,91,"0,0,0,0,0,0",1
1349,26250,5,25,7200,7800,A,36,15,"0,0,0,2,1,0",0
